original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
sodium yeast|sodium yeast|unknown|fermentation products|yeast|fermentation products|yeast
sodiumacid pyrophosphate|sodium acid pyrophosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodiumphosphate|sodium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodiumselenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
soidum selenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
soldium selenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sole|sole|marine products|marine products|fish|marine products|fish
sorbic acid (a preservative)|sorbic acid|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
sorbic acid (preservative)|sorbic acid|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
sorbic acid (used as a preservative)|sorbic acid|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
sorghum|sorghum|grain sorghums|grains|sorghum|grains|sorghum
soy flakes|soy flakes|soybean products|legumes|soybean|legumes|soybean
soy flour|soy flour|soybean products|legumes|soybean|legumes|soybean
soy grits|soy grits|soybean products|legumes|soybean|legumes|soybean
soy hulls|soy hull|soybean products|legumes|soybean|legumes|soybean
soy lecithin|soy lecithin|soybean products|legumes|soybean|legumes|soybean
soy oil|soy oil|soybean products|fats and oils|soybean oil|fats and oils|soybean oil
soy protein concentrate|soy protein concentrate|soybean products|legumes|soybean|legumes|soybean
soy protein isolate|soy protein isolate|soybean products|legumes|soybean|legumes|soybean
soybean germ meal|soybean germ meal|soybean products|legumes|soybean|legumes|soybean
soybean hulls|soybean hull|soybean products|legumes|soybean|legumes|soybean
soybean meal|soybean meal|soybean products|legumes|soybean|legumes|soybean
soybean meal|soybean meal|soybean products|legumes|soybean|legumes|soybean
soybean mill run|soybean mill run|soybean products|legumes|soybean|legumes|soybean
soybean oil|soybean oil|fats and oils|fats and oils|soybean oil|fats and oils|soybean oil
soybean oil (preserved with mixed tocopherols)|soybean oil (preserved with mixed tocopherols)|fats and oils|fats and oils|soybean oil|fats and oils|soybean oil
soybean oil (preserved with mixed tocopherols)|soybean oil (preserved with mixed tocopherols)|fats and oils|fats and oils|soybean oil|fats and oils|soybean oil
spearment|spearmint|human food by-products|herbs & spices|spices|herbs & spices|spices
spearmint|spearmint|human food by-products|herbs & spices|spices|herbs & spices|spices
