original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
(amino acids) tryptophan|tryptophan|amino acids and related products|amino acids|l-tryptophan|amino acids|l-tryptophan
(dl-alpha tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(ferrous sulfate (source of iron)|ferrous sulfate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
(filtered) water sufficient for processing|water sufficient for processing|unknown|water|water|unknown|unknown
(l-ascorbyl-2-poylyphosphate (source of vitamin c)|l-ascorbyl-2-polyphosphate (source of vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(thiamine mononitrate (vitamin b-1)|thiamine mononitrate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
(vitamin e supplement)|vitamin e supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
100% pure beef liver|beef liver|animal products|animal products|beef|animal products|beef
100% pure chicken breast|chicken breast|animal products|animal products|chicken|animal products|chicken
100% pure chicken liver|chicken liver|animal products|animal products|chicken|animal products|chicken
100% pure duck liver|duck liver|animal products|animal products|duck|animal products|duck
100% pure lamb liver|lamb liver|animal products|animal products|lamb|animal products|lamb
100% pure ocean-caught human grade minnow|human grade minnow|marine products|marine products|fish|marine products|fish
100% pure ocean-caught human grade yellowfin tuna|human grade yellowfin tuna|marine products|marine products|fish|marine products|fish
100% pure pork liver|pork liver|animal products|animal products|pork|animal products|pork
100% pure turkey liver|turkey liver|animal products|animal products|turkey|animal products|turkey
100% pure usa sourced & made beef liver|beef liver|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made chicken breast & organic catnip|chicken breast & organic catnip|animal products|animal products|chicken|animal products|chicken
100% pure usa sourced & made human grade beef liver|human grade beef liver|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made human grade beef liver and wisconsin cheddar cheese|human grade beef liver and wisconsin cheddar cheese|animal products|animal products|beef|animal products|beef
100% pure usa sourced & made human grade chicken breast|human grade chicken breast|animal products|animal products|chicken|animal products|chicken
100% pure usa sourced & made human grade chicken breast & duck liver|human grade chicken breast & duck liver|animal products|animal products|chicken and duck|animal products|chicken and duck
100% pure usa sourced & made human grade chicken breast & new-zealand lamb liver|human grade chicken breast & new-zealand lamb liver|animal products|animal products|chicken and lamb|animal products|chicken and lamb
100% pure usa sourced & made human grade duck liver|human grade duck liver|animal products|animal products|duck|animal products|duck
100% pure usa sourced & made human grade turkey breast|human grade turkey breast|animal products|animal products|turkey|animal products|turkey
100% pure wild-caught & made in the usa human grade sockeye salmon|human grade sockeye salmon|marine products|marine products|fish|marine products|fish
100% pure wild-caught & made in usa human grade pacific ocean whitefish|human grade ocean whitefish|marine products|marine products|fish|marine products|fish
100% pure wild-caught & made in usa human grade shrimp|human grade shrimp|marine products|marine products|seafood|marine products|other seafood
100% pure wild-caught human grade sockeye salmon|human grade sockeye salmon|marine products|marine products|fish|marine products|fish
100% whole beef cooked in its own juices|whole beef|animal products|animal products|beef|animal products|beef
a monosaccharide complex l-rhamnose|l-rhamnose|unknown|additives|natural additives|additives|natural additives
a -tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
a -tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
acadian redfish|acadian redfish|marine products|marine products|fish|marine products|fish
acorn squash|acorn squash|unknown|unknown|unknown|unknown|unknown
added color|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color (red 3 and other artificial color)|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color (red 3 and other color)|color additive|special purpose products|colors|artificial colors|colors|artificial colors
added color fd&c red #40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
added color red #40|fd&c red no. 40|special purpose products|colors|artificial colors|colors|artificial colors
added colors|color additive|special purpose products|colors|artificial colors|colors|artificial colors
aflalfa meal|alfalfa meal|alfalfa products|legumes|alfalfa|legumes|alfalfa
agar agar|agar-agar|unknown|marine products|algae|marine products|algae
agar-agar|agar-agar|unknown|marine products|algae|marine products|algae
ahi tuna|yellowfin tuna|marine products|marine products|fish|marine products|fish
alaska pollock meal|alaskan pollock meal|marine products|marine products|fish|marine products|fish
alaskan cod meal|alaskan cod meal|marine products|marine products|fish|marine products|fish
alaskan pollock oil|alaskan pollock oil|marine products|fats and oils|fish oil|fats and oils|fish oil
alfalfa|alfalfa|alfalfa products|legumes|alfalfa|legumes|alfalfa
alfalfa meal|alfalfa meal|alfalfa products|legumes|alfalfa|legumes|alfalfa
alfalfa nutrient concentrate|alfalfa nutrient concentrate|alfalfa products|legumes|alfalfa|legumes|alfalfa
algae|algae|fats and oils|marine products|algae|marine products|algae
algae fat extract|algae fat extract|fats and oils|fats and oils|algae fat|fats and oils|algae fat
alligator|alligator|marine products|marine products|seafood|marine products|other seafood
alligator meal|alligator meal|marine products|marine products|seafood|marine products|other seafood
almond oil (preserved with mixed tocopherols)|almond oil (preserved with mixed tocopherols)|miscellaneous products|fats and oils|almond oil|fats and oils|almond oil
almonds|almonds|miscellaneous products|nuts|almonds|nuts|almonds
aloe vera|aloe vera|special purpose products|additives|natural additives|additives|natural additives
aloe vera extract|aloe vera extract|special purpose products|additives|natural additives|additives|natural additives
aloe vera gel concentrate|aloe vera gel concentrate|special purpose products|additives|natural additives|additives|natural additives
aloe verra|aloe vera|special purpose products|additives|natural additives|additives|natural additives
alpha-tocopherol acetate|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
alpha-tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
alpha-tocopherol acetate (vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
althea root|althea root|special purpose products|herbs & spices|herbs|herbs & spices|herbs
amino acids (l-lysine monohydrochloride)|l-lysine monohydrochloride|amino acids and related products|amino acids|l-lysine|amino acids|l-lysine
amino acids l-lysine monohydrochloride|l-lysine monohydrochloride|amino acids and related products|amino acids|l-lysine|amino acids|l-lysine
anchovies|anchovy|marine products|marine products|fish|marine products|fish
anchovy|anchovy|marine products|marine products|fish|marine products|fish
anchovy & sardine meal|anchovy & sardine meal|marine products|marine products|fish|marine products|fish
anchovy and sardine meal|anchovy & sardine meal|marine products|marine products|fish|marine products|fish
anchovy meal|anchovy meal|marine products|marine products|fish|marine products|fish
anchovy meal (natural source of chondroitin and glucosamine)|anchovy meal|marine products|marine products|fish|marine products|fish
and citric acid|citric acid|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
and citric acid (preservative)|citric acid|preservatives|preservatives|natural preservatives|preservatives|natural preservatives
and dried l. reuteri fermentation product|dried lactobacillus reuteri fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
and fd&c blue #1|fd&c blue no. 1|special purpose products|colors|artificial colors|colors|artificial colors
and green beans |green beans|miscellaneous products|legumes|general legume products|legumes|general legume products
and other added color|color additive|special purpose products|colors|artificial colors|colors|artificial colors
and potassium iodide|potassium iodide|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
and rosemary extract|rosemary extract|unknown|preservatives|natural preservatives|preservatives|natural preservatives
and rosemary extract|rosemary extract|unknown|preservatives|natural preservatives|preservatives|natural preservatives
and spearmint|spearmint|human food by-products|herbs & spices|spices|herbs & spices|spices
and spearmint extract|spearmint extract|human food by-products|herbs & spices|spices|herbs & spices|spices
angus beef flavor|angus beef flavor|special purpose products|flavors|natural flavors|flavors|flavors
animal digest|animal digest|animal products|animal products|general animal products|animal products|general animal products
animal digest (source of chicken flavor)|animal digest (chicken flavor)|special purpose products|flavors|natural flavors|flavors|flavors
animal digest (source of liver flavor)|animal digest (liver flavor)|special purpose products|flavors|natural flavors|flavors|flavors
animal digest (source of roasted flavor)|animal digest (roasted flavor)|special purpose products|flavors|natural flavors|flavors|flavors
animal fat (bha used as a preservative)|animal fat (preserved with bha)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (bha used as preservative)|animal fat (preserved with bha)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with bha & citric acid)|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with bha and citric acid)|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with mixed tocopherols and citric acid)|animal fat (preserved with mixed tocopherols and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with mixed tocopherols)|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with mixed tocopherols)|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (preserved with tbhq and citric acid)|animal fat (preserved with tbhq and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (source of omega 6 fatty acids (preserved with bha & citric acid)|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (source of omega 6 fatty acids (preserved with bha & citric acid))|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (source of omega 6 fatty acids (preserved with bha and citric acid))|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (source of omega 6 fatty acids (preserved with bha/citric acid))|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat (source of omega 6 fatty acids) (preserved with bha/citric acid)|animal fat (preserved with bha and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed tocopherols|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed tocopherols and citric acid|animal fat (preserved with mixed tocopherols and citric acid)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed-tocopherols|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed-tocopherols|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed-tocopherols|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed-tocopherols|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal fat preserved with mixed-tocopherols (form of vitamin e)|animal fat (preserved with mixed tocopherols)|fats and oils|fats and oils|animal fat|fats and oils|animal fat
animal liver|animal liver|animal products|animal products|general animal products|animal products|general animal products
animal liver flavor|animal liver|animal products|animal products|general animal products|animal products|general animal products
animal liver flavor|animal liver|animal products|animal products|general animal products|animal products|general animal products
animal plasma|animal plasma|animal products|animal products|general animal products|animal products|general animal products
annatto (color)|annatto extract|special purpose products|colors|natural colors|colors|natural colors
annatto color|annatto extract|special purpose products|colors|natural colors|colors|natural colors
annatto extract (color)|annatto extract|special purpose products|colors|natural colors|colors|natural colors
apple|apple|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple cide vinegar|apple cider vinegar|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple cider vinegar|apple cider vinegar|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple fiber|apple fiber|human food by-products|roughage fiber|apple fiber|roughage fiber|apple fiber
apple pectin|apple pectin|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple pomace|apple pomace|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple powder|apple powder|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apple puree|apple puree|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apples|apple|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
apricots|apricot|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
arctic char|arctic char|marine products|marine products|fish|marine products|fish
artichokes|artichoke|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
artificial and fish broth|artificial fish broth|marine products|marine products|fish|marine products|fish
artificial and natural flavors|artificial and natural flavors|special purpose products|flavors|artificial and natural flavors|flavors|flavors
artificial beef flavor|artificial beef flavor|special purpose products|flavors|artificial flavors|flavors|flavors
ascorbic acid|ascorbic acid|preservatives/vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ascorbic acid (preservative)|ascorbic acid (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
ascorbic acid (source of vitamin c)|ascorbic acid (vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ascorbic acid (source of vitamin c)|ascorbic acid (vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ascorbic acid (vitamin c)|ascorbic acid (vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ascorbic acid [source of vitamin c]|ascorbic acid (vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
ascorbic acid source of vitamin c|ascorbic acid (vitamin c)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
asparagus|asparagus|human food by-products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
aspergillus oryzae fermentation product|dried aspergillus oryzae fermentation product|fermentation products|fermentation products|fungi|fermentation products|fungi
atlantic tuna|atlantic tuna|marine products|marine products|fish|marine products|fish
a-tocopherol acetate|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
a-tocopherol acetate (source of vitamin e)|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
a-tocopherolacetate|a-tocopherol acetate|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
avocado|avocado|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
avocado meal|avocado meal|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
avocado oil|avocado oil|fats and oils|fats and oils|avocado oil|fats and oils|avocado oil
avocado oil (source of omega 3)|avocado oil|fats and oils|fats and oils|avocado oil|fats and oils|avocado oil
b-12 supplement|vitamin b12 supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
baby clam|baby clam|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
bacillus licheniformis|dried bacillus licheniformis fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bacillus subtilis|dried bacillus subtilis fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bacon|bacon|animal products|animal products|general animal products|animal products|general animal products
bacon broth (source of bacon flavor)|bacon broth|animal products|animal products|general animal products|animal products|general animal products
bacon fat|bacon fat|fats and oils|fats and oils|beef fat|fats and oils|beef fat
bacon flavor|bacon flavor|special purpose products|flavors|natural flavors|flavors|flavors
bacterial culture|bacterial culture|unknown|fermentation products|bacteria|fermentation products|bacteria
bamboo fiber|bamboo fiber|unknown|roughage fiber|bamboo|roughage fiber|bamboo
banana|banana|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
banana powder|banana powder|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
bananas|banana|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
barley|barley|barley products|grains|barley|grains|barley
barley grass|barley grass|barley products|grains|barley|grains|barley
barley grass extract|barley grass extract|barley products|grains|barley|grains|barley
barley malt|barley malt|brewers products|grains|brewers products|grains|brewers products
barramundi|barramundi|marine products|marine products|fish|marine products|fish
bartlett pears|bartlett pear|miscellaneous products|fruits and vegetables|fruits|fruits and vegetables|fruits
basa|basa|marine products|marine products|fish|marine products|fish
basil|basil|unknown|herbs & spices|spices|herbs & spices|spices
bay leaves|bay leaves|special purpose products|herbs & spices|herbs|herbs & spices|herbs
bbq chicken flavor|barbecue chicken flavor|special purpose products|flavors|natural flavors|flavors|flavors
beef|beef|animal products|animal products|beef|animal products|beef
beef & bone meal|beef & bone meal|animal products|animal products|beef|animal products|beef
beef (source of glucosamine)|beef|animal products|animal products|beef|animal products|beef
beef (with ground bone)|beef (with ground bone)|animal products|animal products|beef|animal products|beef
beef and bone meal|beef and bone meal|animal products|animal products|beef|animal products|beef
beef and chicken broth|beef and chicken broth|animal products|animal products|beef and chicken|animal products|beef and chicken
beef blood|beef blood|animal products|animal products|beef|animal products|beef
beef bone|beef bone|animal products|animal products|beef|animal products|beef
beef bone broth|beef bone|animal products|animal products|beef|animal products|beef
beef broth|beef broth|animal products|animal products|beef|animal products|beef
beef by-product|beef by-product|animal products|animal products|beef|animal products|beef
beef by-products|beef by-product|animal products|animal products|beef|animal products|beef
beef cartilage|beef cartilage|animal products|animal products|beef|animal products|beef
beef fat|beef fat|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat (preserved with mixed tocopherols and ascorbic acid)|beef fat (preserved with mixed tocopherols and ascorbic acid)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat (preserved with mixed tocopherols)|beef fat (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat naturally preserved with mixed-tocopherols|beef fat (naturally preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat naturally preserved with mixed-tocopherols|beef fat (naturally preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat naturally preserved with vitamin e|beef fat (naturally preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat preserved with mixed-tocopherols|beef fat (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef fat preserved with mixed-tocopherols|beef fat (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef heart|beef heart|animal products|animal products|beef|animal products|beef
beef hearts|beef heart|animal products|animal products|beef|animal products|beef
beef kidney|beef kidney|animal products|animal products|beef|animal products|beef
beef kidneys|beef kidney|animal products|animal products|beef|animal products|beef
beef liver|beef liver|animal products|animal products|beef|animal products|beef
beef livers|beef liver|animal products|animal products|beef|animal products|beef
beef lung|beef lung|animal products|animal products|beef|animal products|beef
beef lungs|beef lung|animal products|animal products|beef|animal products|beef
beef meal|beef meal|animal products|animal products|beef|animal products|beef
beef meal (preserved with mixed tocopherols)|beef meal (preserved with mixed tocopherols)|animal products|animal products|beef|animal products|beef
beef meal (source of glucosamine and chondroitin sulfate)|beef meal|animal products|animal products|beef|animal products|beef
beef meal (source of glucosamine and chondroitin)|beef meal|animal products|animal products|beef|animal products|beef
beef meal (source of methionine-cystine)|beef meal|animal products|animal products|beef|animal products|beef
beef organ|beef organ|animal products|animal products|beef|animal products|beef
beef organs|beef meal|animal products|animal products|beef|animal products|beef
beef pizzle|beef pizzle|animal products|animal products|beef|animal products|beef
beef protein|beef protein|animal products|animal products|beef|animal products|beef
beef spleen|beef spleen|animal products|animal products|beef|animal products|beef
beef spleens|beef spleen|animal products|animal products|beef|animal products|beef
beef stock|beef stock|animal products|animal products|beef|animal products|beef
beef stomach|beef stomach|animal products|animal products|beef|animal products|beef
beef tallow|beef tallow|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow (preserved with mixed tocopherols)|beef tallow (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow (preserved with mixed tocopherols)|beef tallow (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow (preserved with mixed tocopherols)|beef tallow (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow naturally preserved with mixed-tocopherols|beef tallow (naturally preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow preserved with mixed-tocopherols|beef tallow (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tallow preserved with mixed-tocopherols|beef tallow (preserved with mixed tocopherols)|fats and oils|fats and oils|beef fat|fats and oils|beef fat
beef tripe|beef tripe|animal products|animal products|beef|animal products|beef
beefhide|beefhide|animal products|animal products|beef|animal products|beef
beet|beet|molasses and molasses products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
beet fiber|beet fiber|molasses and molasses products|roughage fiber|beet fiber|roughage fiber|beet fiber
beet greens|beet greens|molasses and molasses products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
beet juice (color)|beet juice (color)|special purpose products|colors|natural colors|colors|natural colors
beet powder|beet powder|molasses and molasses products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
beet pulp|beet pulp|molasses and molasses products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
beets|beet|molasses and molasses products|fruits and vegetables|vegetables|fruits and vegetables|vegetables
beta carotene|β-carotene|special purpose products|colors|natural colors|colors|natural colors
beta carotene (color)|β-carotene|special purpose products|colors|natural colors|colors|natural colors
beta-carotein|β-carotene|special purpose products|colors|natural colors|colors|natural colors
beta-carotene|β-carotene|special purpose products|colors|natural colors|colors|natural colors
beta-carotene|β-carotene|special purpose products|colors|natural colors|colors|natural colors
beta-carotene (color)|β-carotene|special purpose products|colors|natural colors|colors|natural colors
betaine|betaine|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
betaine anhydrous|betaine (anhydrous)|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
betaine hydrochloride|betaine hydrochloride|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
bha|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bha (a preservative)|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bha (preservative)|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bha (used as a preservative)|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bha (used as a preservative)|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bha (used as preservative)|bha (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
bifido bacterium bifidium fermentation product (probiotic)|dried bifidobacterium bifidum fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifido bacterium bifidum fermentation product dehydrated|dried bifidobacterium bifidum fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifidobacterium animalis|dried bifidobacterium animalis fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifidobacterium animalis product dehydrated|dried bifidobacterium animalis fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifidobacterium bifidum|dried bifidobacterium bifidum fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifidobacterium thermophilum|dried bifidobacterium thermophilum fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bifidobacterium thermophilum fermentation product dehydrated|dried bifidobacterium thermophilum fermentation product|fermentation products|fermentation products|bacteria|fermentation products|bacteria
bioena|bio ena|unknown|unknown|unknown|unknown|unknown
biotin|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin |biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin (vitamin b7)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin (vitamin b-7)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin (vitamin b-7)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin (vitamin b8)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin supplement|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin supplement (vitamin b7)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin vitamin b-7|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
biotin(vitamin b7)|biotin|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
bisglycinate chelate|bisglycinate chelate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
bison|bison|animal products|animal products|bison|animal products|bison
bison meal|bison meal|animal products|animal products|bison|animal products|bison
bison tripe|bison tripe|animal products|animal products|bison|animal products|bison
bison/buffalo|bison/buffalo|animal products|animal products|bison|animal products|bison
bitamin b12 supplement|vitamin b12 supplement|vitamins|vitamins and minerals|vitamins|vitamins and minerals|vitamins
bitter orange peel|orange peel|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
black beans|black beans|miscellaneous products|legumes|general legume products|legumes|general legume products
black peper|black pepper|special purpose products|herbs & spices|spices|herbs & spices|spices
black pepper|black pepper|special purpose products|herbs & spices|spices|herbs & spices|spices
blackberries|blackberry|special purpose products|fruits and vegetables|fruits|fruits and vegetables|fruits
blood meal|blood meal|animal products|animal products|general animal products|animal products|general animal products
blood meal conventionally dried|blood meal (conventionally dried)|animal products|animal products|general animal products|animal products|general animal products
blue #2|fd&c blue no. 2|special purpose products|colors|artificial colors|colors|artificial colors
blue 1|fd&c blue no. 1|special purpose products|colors|artificial colors|colors|artificial colors
blue 2|fd&c blue no. 2|special purpose products|colors|artificial colors|colors|artificial colors
blue 2 lake|fd&c blue no. 3-lake|special purpose products|colors|artificial colors|colors|artificial colors
blue whiting meal|blue whiting meal|marine products|marine products|fish|marine products|fish
blueberries|blueberry|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
blueberry|blueberry|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
blueberry fiber|blueberry fiber|human food by-products|roughage fiber|blueberry fiber|roughage fiber|blueberry fiber
blueberry powder|blueberry powder|human food by-products|fruits and vegetables|fruits|fruits and vegetables|fruits
boar|boar meat|animal products|animal products|boar|animal products|boar
boar broth|boar broth|animal products|animal products|boar|animal products|boar
boar liver|boar liver|animal products|animal products|boar|animal products|boar
boar meal|boar meal|animal products|animal products|boar|animal products|boar
boar meat|boar meat|animal products|animal products|boar|animal products|boar
bok choy|bok choy|unknown|fruits and vegetables|vegetables|fruits and vegetables|vegetables
bone meal|boar meal|animal products|animal products|boar|animal products|boar
boneless & skinless chicken breast|boneless skinless chicken breast|animal products|animal products|chicken|animal products|chicken
boneless beef|boneless beef|animal products|animal products|beef|animal products|beef
boneless chicken|boneless chicken|animal products|animal products|chicken|animal products|chicken
boneless pork shoulder|boneless pork shoulder|animal products|animal products|pork|animal products|pork
boneless skinless chicken breast|boneless skinless chicken breast|animal products|animal products|chicken|animal products|chicken
boneless skinless duck breast|boneless skinless duck breast|animal products|animal products|duck|animal products|duck
boneless turkey|boneless turkey|animal products|animal products|turkey|animal products|turkey
boneless/skinless salmon|boneless skinless salmon|marine products|marine products|fish|marine products|fish
bonita tuna|bonito tuna|marine products|marine products|fish|marine products|fish
bonito|bonito|marine products|marine products|fish|marine products|fish
bovine colostrum|bovine colostrum|milk products|dairy products|milk|dairy products|milk
braised rib flavor|braised rib flavor|special purpose products|flavors|natural flavors|flavors|flavors
bream|bream|marine products|marine products|fish|marine products|fish
brewer’s dried yeast|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewer’s dried yeast|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewer’s rice|brewers rice|brewers products|grains|brewers products|grains|brewers products
brewer’s yeast|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewer's dried east|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewers dried yeast|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
brewer's dried yeast|brewers dried yeast|yeast|fermentation products|yeast|fermentation products|yeast
